#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
2379;J1858+0346;J1858+0346;NAN;NAN;NAN;54510.00;37.083;0.182;284.59316667;3.77716667;0.256844;2.04e-15;386.00;56.000;NAN;NAN;NAN;0.19;NAN;5.489;5.489;0.017;3.310;4.121;NAN;palfa,fast_gpps;NAN;
2380;J1858+0453g;J1858+0453g;NAN;NAN;NAN;NAN;38.116;0.592;284.70000000;4.88333333;3.761000;NAN;429.00;NAN;NAN;NAN;NAN;NAN;NAN;6.854;6.854;0.071;4.230;3.108;NAN;fast_gpps;RRAT[zhx+23];
2381;J1858+0609g;J1858+0609g;NAN;NAN;NAN;NAN;39.171;1.311;284.54166667;6.15000000;0.484350;NAN;381.50;NAN;NAN;NAN;NAN;0.01;NAN;11.566;11.566;0.265;7.304;-0.464;NAN;fast_gpps;NAN;
2382;J1858-0024g;J1858-0024g;NAN;NAN;NAN;NAN;33.411;-1.813;284.69166667;-0.40000000;0.400600;NAN;190.60;32.000;NAN;NAN;NAN;0.03;NAN;4.724;4.724;-0.149;2.600;4.559;NAN;fast_gpps;NAN;
2383;J1858-0113g;J1858-0113g;NAN;NAN;NAN;NAN;32.696;-2.207;284.71666667;-1.21666667;1.532000;NAN;280.00;NAN;NAN;NAN;NAN;NAN;NAN;6.037;6.037;-0.233;3.259;3.423;NAN;fast_gpps;RRAT[zhx+23];
2384;J1858-0736;J1858-0736;NAN;NAN;NAN;56108.50;26.964;-5.079;284.68458333;-7.61666667;0.551059;5.06e-15;194.00;NAN;NAN;NAN;NAN;0.30;NAN;10.144;10.144;-0.898;4.581;-0.506;NAN;pksmb;NAN;
2385;J1859+00;J1859+00;NAN;NAN;NAN;58982.87;34.447;-1.568;284.94583333;0.63333333;0.559636;NAN;420.00;54.000;61.900;NAN;NAN;4.80;NAN;7.664;7.664;-0.210;4.334;2.182;NAN;ar4,gbncc,palfa,pksmb,fast_gpps;NAN;
2386;J1859+0026g;J1859+0026g;NAN;NAN;NAN;NAN;34.290;-1.700;284.99166667;0.43333333;0.008570;NAN;334.10;NAN;NAN;NAN;NAN;0.03;NAN;6.506;6.506;-0.193;3.664;3.127;NAN;fast_gpps;NAN;
2387;J1859+0126g;J1859+0126g;NAN;NAN;NAN;NAN;35.098;-1.084;284.81250000;1.43333333;0.957700;NAN;529.20;13.400;NAN;NAN;NAN;0.04;NAN;9.538;9.538;-0.180;5.483;0.698;NAN;fast_gpps;NAN;
2388;J1859+0239Bg;J1859+0239Bg;NAN;NAN;NAN;NAN;36.187;-0.539;284.82500000;2.65000000;0.849000;NAN;624.00;NAN;NAN;NAN;NAN;NAN;NAN;7.073;7.073;-0.067;4.176;2.792;NAN;fast_gpps;RRAT[zhx+23];
2389;J1859+0239g;J1859+0239g;NAN;NAN;NAN;NAN;36.187;-0.539;284.82500000;2.65000000;0.056110;NAN;250.90;NAN;NAN;NAN;NAN;0.01;NAN;4.653;4.653;-0.044;2.747;4.745;NAN;fast_gpps;NAN;
2390;J1859+0251g;J1859+0251g;NAN;NAN;NAN;NAN;36.397;-0.511;284.89583333;2.85000000;3.580000;NAN;286.00;NAN;NAN;NAN;NAN;NAN;NAN;4.913;4.913;-0.044;2.915;4.546;NAN;fast_gpps;RRAT[zhx+23];
2391;J1859+0313g;J1859+0313g;NAN;NAN;NAN;NAN;36.725;-0.347;284.90000000;3.21666667;0.001610;NAN;107.70;NAN;NAN;NAN;NAN;0.06;NAN;3.075;3.075;-0.019;1.839;6.035;NAN;fast_gpps;NAN;
2392;J1859+0345;J1859+0345;NAN;NAN;NAN;57354.00;37.169;-0.010;284.80295833;3.76583333;1.511509;6.48e-16;559.00;31.000;NAN;NAN;NAN;0.09;NAN;6.251;6.251;-0.001;3.777;3.519;NAN;palfa,fast_gpps;NAN;
2393;J1859+0430g;J1859+0430g;NAN;NAN;NAN;59104.00;37.819;0.343;284.78645833;4.50519444;0.336325;5.30e-17;785.40;19.000;NAN;NAN;NAN;0.02;NAN;8.942;8.942;0.054;5.483;1.436;NAN;fast_gpps;NAN;
2394;J1859+0434g;J1859+0434g;NAN;NAN;NAN;NAN;37.935;0.252;284.92083333;4.56666667;0.458340;NAN;321.80;12.500;NAN;NAN;NAN;0.01;NAN;5.272;5.272;0.023;3.241;4.342;NAN;fast_gpps;NAN;
2395;J1859+0601;J1859+0601;NAN;NAN;NAN;52503.00;39.245;0.903;284.94066667;6.02947222;1.044313;2.55e-14;276.00;10.500;49.600;0.12;NAN;0.30;NAN;6.436;6.436;0.101;4.071;3.516;NAN;pksmb,palfa,fast_gpps;NAN;
2396;J1859+0603;J1859+0603;NAN;NAN;NAN;56700.00;39.270;0.932;284.92554583;6.06513889;0.508561;1.59e-15;379.00;13.800;NAN;NAN;NAN;0.16;NAN;9.005;9.005;0.147;5.699;1.530;NAN;palfa;NAN;
2397;J1859+0658g;J1859+0658g;NAN;NAN;NAN;NAN;40.002;1.481;284.77083333;6.96666667;0.005110;NAN;290.40;NAN;NAN;NAN;NAN;0.04;NAN;9.349;9.349;0.242;6.008;1.341;NAN;fast_gpps;NAN;
2398;J1859+07;J1859+07;NAN;NAN;NAN;NAN;40.022;1.514;284.75000000;7.00000000;NAN;NAN;303.00;4.500;NAN;NAN;NAN;NAN;NAN;10.300;10.300;0.272;6.621;0.615;NAN;palfa;RRAT[pab+18];
2399;J1859+0832g;J1859+0832g;NAN;NAN;NAN;NAN;41.438;2.115;284.86250000;8.53333333;NAN;NAN;259.00;NAN;NAN;NAN;NAN;NAN;NAN;11.125;11.125;0.410;7.358;0.166;NAN;fast_gpps;RRAT[zhx+23];
2400;J1859+1526;J1859+1526;NAN;NAN;NAN;49079.50;47.637;5.181;284.93495417;15.43638889;0.933972;3.93e-15;97.40;3.000;12.100;NAN;1.50;NAN;NAN;4.115;4.115;0.372;3.028;5.739;NAN;ar3,fast_gpps;NAN;
2401;J1859+7654;J1859+7654;NAN;NAN;NAN;56500.00;108.364;25.911;284.90010305;76.91545353;1.393729;5.05e-17;47.25;33.000;51.000;NAN;NAN;NAN;NAN;5.980;5.980;2.613;5.105;10.195;NAN;gbncc;NAN;
2402;J1900+0213g;J1900+0213g;NAN;NAN;NAN;NAN;35.904;-0.937;285.05000000;2.21666667;0.032090;NAN;310.50;NAN;NAN;NAN;NAN;0.03;NAN;5.725;5.725;-0.094;3.357;3.863;NAN;fast_gpps;NAN;
2403;J1900+0227;J1900+0227;NAN;NAN;NAN;51721.00;36.170;-0.925;285.16083333;2.45888889;0.374262;5.71e-15;202.30;14.600;26.100;NAN;NAN;0.33;NAN;4.529;4.529;-0.073;2.673;4.844;NAN;pksmb,palfa,fast_gpps;NAN;
2404;J1900+0405g;J1900+0405g;NAN;NAN;NAN;NAN;37.617;-0.187;285.16666667;4.08333333;0.072380;NAN;636.90;33.000;NAN;NAN;NAN;0.03;NAN;6.763;6.763;-0.022;4.128;3.143;NAN;fast_gpps;NAN;
2405;J1900+0438;J1900+0438;NAN;NAN;NAN;56700.00;38.067;0.169;285.05562500;4.64633333;0.312314;3.23e-15;627.00;26.000;NAN;NAN;NAN;0.12;NAN;6.988;6.988;0.021;4.309;2.998;NAN;palfa;NAN;
2406;J1900+0634;J1900+0634;NAN;NAN;NAN;52554.00;39.808;0.995;285.11680833;6.57247222;0.389869;5.13e-15;323.40;6.000;10.000;NAN;NAN;0.24;NAN;8.595;8.595;0.149;5.502;1.898;NAN;pksmb,ar4,fast_gpps;NAN;
2407;J1900+0715g;J1900+0715g;NAN;NAN;NAN;NAN;40.400;1.327;285.09166667;7.25000000;0.970440;NAN;263.20;15.700;21.700;NAN;NAN;0.06;NAN;8.628;8.628;0.200;5.590;1.931;NAN;fast_gpps;NAN;
2408;J1900+0732g;J1900+0732g;NAN;NAN;NAN;NAN;40.639;1.482;285.06250000;7.53333333;1.709000;NAN;226.00;NAN;NAN;NAN;NAN;NAN;NAN;8.213;8.213;0.212;5.347;2.270;NAN;fast_gpps;RRAT[zhx+23];
2409;J1900+0908g;J1900+0908g;NAN;NAN;NAN;NAN;42.071;2.198;285.07916667;9.13333333;NAN;NAN;264.00;NAN;NAN;NAN;NAN;NAN;NAN;11.398;11.398;0.437;7.632;0.045;NAN;fast_gpps;RRAT[zhx+23];
2410;J1900+30;J1900+30;NAN;NAN;NAN;NAN;61.757;11.802;285.07500000;30.88333333;0.602227;NAN;71.84;12.100;22.600;NAN;NAN;NAN;NAN;6.839;6.839;1.399;5.897;5.332;NAN;ar4,ar327,gbncc,lotaas,fast_gpps;NAN;
2411;J1900+4221;J1900+4221;NAN;NAN;NAN;59275.00;72.595;16.385;285.04412083;42.34670833;4.341134;9.05e-15;68.14;NAN;NAN;NAN;NAN;0.03;NAN;10.079;10.079;2.843;9.227;5.608;NAN;fast_crafts;NAN;
2412;J1900-0051;J1900-0051;NAN;NAN;NAN;51912.00;33.238;-2.467;285.19435000;-0.85233333;0.385194;1.42e-16;136.00;4.600;13.900;NAN;NAN;0.45;NAN;4.217;4.217;-0.181;2.309;4.976;NAN;pksmb,fast_gpps;NAN;
2413;J1900-0134;J1900-0134;NAN;NAN;NAN;58269.00;32.553;-2.721;285.10905833;-1.57727778;1.832332;3.05e-14;177.70;9.100;11.800;NAN;NAN;0.20;NAN;4.848;4.848;-0.230;2.606;4.418;NAN;fast_crafts,fast_gpps;NAN;
2414;J1900-0152g;J1900-0152g;NAN;NAN;NAN;NAN;32.352;-2.963;285.23333333;-1.86666667;1.384000;NAN;314.00;NAN;NAN;NAN;NAN;NAN;NAN;9.432;9.432;-0.488;5.040;0.543;NAN;fast_gpps;RRAT[zhx+23];
2415;J1900-0933;J1900-0933;NAN;NAN;NAN;56979.00;25.413;-6.346;285.12995833;-9.56336111;1.423889;2.26e-16;162.70;38.000;249.000;NAN;NAN;0.40;NAN;9.722;9.722;-1.075;4.147;-0.227;NAN;htru_pks,gbncc;NAN;
2416;B1857-26;J1900-2600;-19.900;-47.300;0.500;48891.00;10.342;-13.451;285.19825833;-26.01216667;0.612209;2.05e-16;37.99;53.000;65.000;NAN;131.00;15.00;NAN;0.700;1.237;-0.163;0.122;7.830;NAN;mol1,htru_pks,mol2,pks70,pkssw;NAN;
2417;B1851-79;J1900-7951;NAN;NAN;NAN;43565.14;314.322;-27.065;285.10166667;-79.86338889;1.279193;1.86e-15;39.00;30.000;85.000;NAN;6.50;0.95;NAN;2.375;2.375;-1.081;-1.513;7.022;NAN;mol2;NAN;
2418;J1901+00;J1901+00;NAN;NAN;NAN;58977.88;34.558;-2.003;285.38333333;0.53333333;0.777662;NAN;340.30;9.700;13.000;NAN;NAN;0.35;NAN;7.232;7.232;-0.253;4.100;2.548;NAN;ar4,palfa,pksmb,fast_gpps;NAN;
2419;J1901+0020g;J1901+0020g;NAN;NAN;NAN;NAN;34.352;-2.038;285.32083333;0.33333333;0.214810;NAN;239.10;9.300;17.800;NAN;NAN;0.04;NAN;5.608;5.608;-0.199;3.162;3.873;NAN;fast_gpps;NAN;
2420;J1901+0124;J1901+0124;NAN;NAN;NAN;52632.00;35.381;-1.677;285.46893750;1.41369444;0.318817;3.24e-15;314.80;8.400;16.000;NAN;NAN;0.30;NAN;6.602;6.602;-0.193;3.821;3.120;NAN;pksmb,fast_gpps;NAN;
2421;B1859+01;J1901+0156;NAN;NAN;NAN;49298.00;35.818;-1.367;285.39286914;1.94394890;0.288219;2.36e-15;105.39;4.100;8.900;0.00;13.70;0.38;NAN;3.231;3.231;-0.077;1.890;5.881;NAN;gb3,ar327,lotaas,palfa,pksmb,fast_g;NAN;
2422;J1901+0234;J1901+0234;NAN;NAN;NAN;56700.00;36.370;-1.048;285.36220833;2.58094444;0.885240;2.30e-14;404.80;6.600;13.200;NAN;NAN;0.14;NAN;7.544;7.544;-0.138;4.473;2.427;NAN;palfa,fast_gpps;NAN;
2423;J1901+0254;J1901+0254;NAN;NAN;NAN;52626.00;36.643;-0.855;285.31529167;2.91138889;1.299693;4.56e-16;185.00;18.300;27.500;NAN;NAN;0.58;NAN;4.300;4.300;-0.064;2.566;5.050;NAN;pksmb,palfa,fast_gpps;NAN;
2424;J1901+0315g;J1901+0315g;NAN;NAN;NAN;NAN;36.979;-0.768;285.39166667;3.25000000;0.819820;NAN;410.50;NAN;NAN;NAN;NAN;0.03;NAN;6.488;6.488;-0.087;3.902;3.317;NAN;fast_gpps;NAN;
2425;J1901+0320;J1901+0320;NAN;NAN;NAN;59428.00;36.999;-0.613;285.26284167;3.33819444;0.636584;5.23e-16;396.00;31.100;58.600;NAN;NAN;0.89;NAN;5.909;5.909;-0.063;3.556;3.781;NAN;pksmb,palfa,fast_gpps;NAN;
2426;B1859+03;J1901+0331;-7.000;-45.000;NAN;54336.00;37.213;-0.637;285.38242083;3.51832500;0.655450;7.46e-15;401.20;4.800;18.700;0.00;165.00;4.20;NAN;7.000;6.047;-0.078;4.233;2.926;NAN;jb1,ar1,gb3,jb2,mol2,palfa,pksmb,fa;NAN;
2427;J1901+0355;J1901+0355;NAN;NAN;NAN;52352.00;37.580;-0.444;285.37837500;3.93302778;0.554756;1.27e-14;547.40;7.700;11.800;NAN;NAN;0.15;NAN;6.687;6.687;-0.052;4.078;3.201;NAN;pksmb,palfa,fast_gpps;NAN;
2428;J1901+0413;J1901+0413;NAN;NAN;NAN;51706.00;37.806;-0.232;285.29291667;4.23083333;2.663080;1.32e-13;347.50;12.900;17.200;NAN;NAN;1.20;NAN;5.315;5.315;-0.021;3.258;4.301;NAN;pksmb,palfa,fast_gpps;NAN;
2429;J1901+0435;J1901+0435;NAN;NAN;NAN;53041.00;38.167;-0.148;285.38416667;4.58972222;0.690576;8.67e-15;920.00;315.000;NAN;NAN;NAN;4.24;NAN;8.725;8.725;-0.023;5.392;1.640;NAN;pksmb,palfa,fast_gpps;NAN;
2430;J1901+0459;J1901+0459;NAN;NAN;NAN;56700.00;38.490;0.087;285.32279167;4.98522222;0.877044;1.57e-14;1108.00;51.000;NAN;NAN;NAN;0.12;NAN;12.064;12.064;0.018;7.508;-0.943;NAN;palfa;NAN;
2431;J1901+0510;J1901+0510;NAN;NAN;NAN;59243.00;38.738;0.025;285.49125000;5.17680556;0.614757;3.11e-14;435.00;37.800;60.100;0.00;NAN;0.66;NAN;5.954;5.954;0.003;3.726;3.856;NAN;pksmb,palfa,fast_gpps;NAN;
2432;J1901+0511;J1901+0511;NAN;NAN;NAN;56700.00;38.715;0.084;285.42879167;5.18338889;4.600369;2.53e-14;410.00;1.000;6.500;NAN;NAN;0.05;NAN;5.831;5.831;0.009;3.647;3.950;NAN;palfa,fast_gpps;NAN;
2433;J1901+0621;J1901+0621;NAN;NAN;NAN;52282.00;39.687;0.756;285.27483333;6.35527778;0.832002;1.80e-17;105.20;28.800;79.300;NAN;NAN;0.47;NAN;3.227;3.227;0.043;2.061;6.017;NAN;palfa,pksmb,fast_gpps;NAN;
2434;J1901+0659g;J1901+0659g;NAN;NAN;NAN;NAN;40.282;0.973;285.35416667;6.98333333;0.075730;NAN;126.20;NAN;NAN;NAN;NAN;0.05;NAN;3.829;3.829;0.065;2.475;5.579;NAN;fast_gpps;NAN;
2435;J1901+0712g;J1901+0712g;NAN;NAN;NAN;NAN;40.484;1.054;285.37500000;7.20000000;1.037710;NAN;332.40;NAN;NAN;NAN;NAN;0.04;NAN;8.903;8.903;0.164;5.779;1.730;NAN;fast_gpps;NAN;
2436;B1859+07;J1901+0716;NAN;NAN;NAN;49863.00;40.569;1.056;285.41223609;7.27633469;0.643999;2.29e-15;252.80;8.000;22.100;0.00;3.90;0.90;NAN;3.400;7.200;0.063;2.211;5.918;NAN;jb2,palfa,pksmb,fast_gpps;NAN;
2437;J1901+13;J1901+13;NAN;NAN;NAN;NAN;46.144;3.981;285.34583333;13.56666667;0.740952;NAN;152.00;26.000;NAN;NAN;NAN;0.07;NAN;7.409;7.409;0.514;5.330;3.379;NAN;pksmb;NAN;
2438;J1901+1306;J1901+1306;NAN;NAN;NAN;49079.50;45.786;3.683;285.45320833;13.11341667;1.830857;1.31e-16;75.00;9.400;13.800;NAN;0.60;NAN;NAN;2.499;2.499;0.161;1.787;6.761;NAN;ar3,fast_gpps;NAN;
2439;J1901-0125;J1901-0125;-1.900;-5.000;NAN;56000.00;32.817;-2.902;285.39083333;-1.42472222;0.002793;3.58e-20;70.42;NAN;NAN;NAN;NAN;NAN;NAN;2.361;2.361;-0.120;1.278;6.518;GRS:4FGL_J1901.4-0126[aab+22];FermiAssoc;HE[aab+22],HE[frm+18];
2440;J1901-0312;J1901-0312;NAN;NAN;NAN;52608.00;31.192;-3.646;285.31531250;-3.20819444;0.355725;2.29e-15;106.60;5.600;48.000;NAN;NAN;0.23;NAN;3.778;3.778;-0.240;1.953;5.275;NAN;pksmb,gbncc;NAN;
2441;J1901-0315;J1901-0315;NAN;NAN;NAN;53283.00;31.152;-3.669;285.31804167;-3.25397222;0.801693;2.57e-15;242.60;10.000;20.000;NAN;NAN;0.09;NAN;8.447;8.447;-0.541;4.361;1.286;NAN;pksmb;NAN;
2442;J1901-0906;J1901-0906;-7.540;-18.200;0.520;56000.00;25.979;-6.441;285.47086958;-9.10309611;1.781928;1.64e-15;72.68;45.000;56.000;NAN;11.00;3.50;NAN;2.000;2.892;-0.224;0.871;6.713;NAN;pks70,gbncc,htru_pks,pkssw;NAN;
2443;J1901-1740;J1901-1740;NAN;NAN;NAN;51500.00;18.138;-10.071;285.32512500;-17.66666667;1.956858;8.23e-16;24.40;59.300;120.000;NAN;NAN;0.30;NAN;0.894;0.894;-0.156;0.274;7.664;NAN;pkssw,htru_pks;NAN;
2444;J1902+0235;J1902+0235;NAN;NAN;NAN;56835.00;36.498;-1.282;285.62942500;2.58743056;0.415394;9.48e-17;280.49;9.000;NAN;NAN;NAN;0.04;NAN;6.067;6.067;-0.136;3.608;3.624;NAN;palfa,fast_gpps;NAN;
2445;J1902+0248;J1902+0248;NAN;NAN;NAN;52554.00;36.738;-1.249;285.70941667;2.81555556;1.223777;2.41e-15;268.80;2.800;17.200;NAN;NAN;0.17;NAN;5.945;5.945;-0.130;3.555;3.737;NAN;pksmb,palfa,fast_gpps;NAN;
2446;B1900+05;J1902+0556;NAN;NAN;NAN;49722.00;39.501;0.210;285.67758522;5.94053304;0.746577;1.29e-14;177.49;11.000;28.000;0.00;15.00;1.20;NAN;3.600;4.197;0.013;2.290;5.722;NAN;ar1,ar4,jb2,palfa,pksmb;NAN;
2447;J1902+0557g;J1902+0557g;NAN;NAN;NAN;NAN;39.535;0.165;285.73333333;5.95000000;NAN;NAN;414.00;NAN;NAN;NAN;NAN;NAN;NAN;6.083;6.083;0.018;3.872;3.809;NAN;fast_gpps;RRAT[zhx+23];
2448;B1900+06;J1902+0615;-0.885;-8.013;NAN;57600.00;39.814;0.336;285.70948750;6.27594722;0.673505;7.71e-15;502.90;2.100;6.100;0.00;22.00;1.60;NAN;7.000;7.173;0.041;4.482;3.123;NAN;jb2,palfa,pksmb,fast_gpps;NAN;
2449;J1902+0723;J1902+0723;NAN;NAN;NAN;49079.50;40.742;0.984;285.55641667;7.39750000;0.487813;2.10e-16;105.00;10.800;24.900;NAN;0.60;0.17;NAN;3.328;3.328;0.057;2.172;5.979;NAN;ar3,pksmb,fast_gpps;NAN;
2450;J1902+0809g;J1902+0809g;NAN;NAN;NAN;NAN;41.423;1.305;285.58333333;8.15000000;0.190230;NAN;436.80;3.700;NAN;NAN;NAN;0.01;NAN;13.849;13.849;0.315;9.160;-1.882;NAN;fast_gpps;NAN;
2451;J1902+1141;J1902+1141;NAN;NAN;NAN;58377.00;44.537;2.984;285.50917083;11.68486111;0.409140;2.59e-15;269.12;12.000;NAN;NAN;NAN;0.12;NAN;13.888;13.888;0.723;9.727;-1.386;NAN;palfa;NAN;
2452;J1902-0340;J1902-0340;NAN;NAN;NAN;52724.00;30.958;-4.209;285.71125000;-3.67166667;1.524672;2.00e-15;114.00;25.000;NAN;NAN;NAN;0.22;NAN;4.049;4.049;-0.297;2.077;5.037;NAN;pksmb;NAN;
2453;J1902-1036;J1902-1036;NAN;NAN;NAN;56916.00;24.716;-7.291;285.67666250;-10.60361111;0.786814;7.54e-15;96.30;11.000;19.000;NAN;NAN;0.13;NAN;4.073;4.073;-0.517;1.689;4.830;NAN;htru_pks,gbncc;NAN;
2454;B1900+01;J1903+0135;3.000;-13.000;NAN;57600.00;35.727;-1.955;285.87494167;1.59403611;0.729307;4.03e-15;245.20;3.700;10.200;0.00;58.00;5.50;NAN;3.300;6.001;-0.113;1.926;5.823;NAN;jb1,gb4,mol2,palfa,pksmb,fast_gpps;NAN;
2455;J1903+0319g;J1903+0319g;NAN;NAN;NAN;NAN;37.229;-1.107;285.80833333;3.31666667;1.854000;NAN;307.00;NAN;NAN;NAN;NAN;NAN;NAN;6.472;6.472;-0.125;3.915;3.348;NAN;fast_gpps;RRAT[zhx+23];
2456;J1903+0415;J1903+0415;NAN;NAN;NAN;57450.00;38.088;-0.732;285.86800417;4.25211111;1.151399;2.27e-16;481.90;30.000;NAN;NAN;NAN;0.07;NAN;7.598;7.598;-0.097;4.687;2.520;NAN;palfa,fast_gpps;NAN;
2457;J1903+0433g;J1903+0433g;NAN;NAN;NAN;NAN;38.335;-0.561;285.82916667;4.55000000;14.049900;NAN;202.60;148.000;NAN;NAN;NAN;0.01;NAN;4.437;4.437;-0.043;2.752;5.020;NAN;fast_gpps;NAN;
2458;J1903+0534g;J1903+0534g;NAN;NAN;NAN;NAN;39.257;-0.132;285.87083333;5.56666667;0.357650;NAN;407.70;NAN;NAN;NAN;NAN;0.04;NAN;5.883;5.883;-0.014;3.723;3.945;NAN;fast_gpps;NAN;
2459;J1903+0601;J1903+0601;NAN;NAN;NAN;52146.00;39.650;0.109;285.83697500;6.02611111;0.374117;1.92e-14;388.00;8.400;NAN;0.01;NAN;0.26;NAN;5.887;5.887;0.011;3.756;3.967;NAN;pksmb,palfa;NAN;
2460;J1903+0654;J1903+0654;NAN;NAN;NAN;56700.00;40.502;0.388;285.98033333;6.91094444;0.791232;1.06e-14;329.00;56.200;NAN;NAN;NAN;0.11;NAN;5.922;5.922;0.040;3.846;3.997;NAN;palfa;NAN;
2461;J1903+0839g;J1903+0839g;NAN;NAN;NAN;NAN;42.041;1.197;285.96666667;8.65000000;0.004620;NAN;166.50;NAN;NAN;NAN;NAN;0.18;NAN;5.312;5.312;0.111;3.556;4.556;NAN;fast_gpps;NAN;
2462;J1903+0845g;J1903+0845g;NAN;NAN;NAN;59503.00;42.121;1.295;285.91503417;8.76611111;0.153150;9.20e-17;129.56;NAN;NAN;NAN;NAN;0.03;NAN;4.308;4.308;0.097;2.889;5.305;NAN;fast_gpps;NAN;
2463;J1903+0851g;J1903+0851g;NAN;NAN;NAN;59567.00;42.137;1.466;285.76887500;8.85788889;1.231882;2.72e-14;81.90;6.500;NAN;NAN;NAN;0.05;NAN;2.679;2.679;0.069;1.797;6.514;NAN;fast_gpps;NAN;
2464;J1903+0912;J1903+0912;NAN;NAN;NAN;57605.00;42.522;1.490;285.92542083;9.21158056;0.166314;1.48e-14;363.10;13.000;NAN;NAN;NAN;0.09;NAN;11.853;11.853;0.308;8.008;-0.233;NAN;palfa,fast_gpps;NAN;
2465;J1903+0925;J1903+0925;NAN;NAN;NAN;53396.00;42.743;1.543;285.97991667;9.43194444;0.357155;3.69e-14;162.00;38.700;200.400;NAN;NAN;0.20;NAN;6.256;6.256;0.168;4.244;3.907;NAN;pksmb,fast_gpps;NAN;
2466;J1903+2225;J1903+2225;NAN;NAN;NAN;49079.50;54.363;7.427;285.97062500;22.42008333;0.651185;4.45e-16;109.20;6.500;14.600;NAN;0.80;NAN;NAN;5.755;5.755;0.744;4.638;5.175;NAN;ar3,fast_gpps;NAN;
2467;J1903-0258;J1903-0258;NAN;NAN;NAN;53095.00;31.659;-4.038;285.87642917;-2.97100000;0.301459;6.79e-16;114.10;5.600;34.000;NAN;NAN;0.14;NAN;4.069;4.069;-0.287;2.130;5.045;NAN;pksmb,gbncc;NAN;
2468;B1900-06;J1903-0632;NAN;NAN;NAN;57600.00;28.479;-5.679;285.90805833;-6.53931111;0.431889;3.38e-15;195.61;7.200;16.000;0.00;23.00;NAN;NAN;12.449;12.449;-1.232;5.907;-2.389;NAN;jb1,htru_pks,mol2,pks70,pkssw;NAN;
2469;J1903-0848;J1903-0848;NAN;NAN;NAN;54987.00;26.382;-6.601;285.79696250;-8.81594444;0.887325;1.33e-15;66.99;14.000;36.000;NAN;NAN;NAN;NAN;2.612;2.612;-0.300;1.153;6.176;NAN;gbt350,gbncc;NAN;
2470;J1904+0004;J1904+0004;8.000;-7.000;NAN;54377.00;34.450;-2.811;286.05299167;0.06813611;0.139525;1.18e-16;233.60;18.400;38.500;0.00;16.00;2.90;NAN;6.363;6.363;-0.312;3.595;3.259;NAN;pks70,gbncc,pksmb,fast_gpps;NAN;
2471;J1904+0056;J1904+0056;NAN;NAN;NAN;58677.00;35.224;-2.387;286.02941667;0.94972222;0.438089;4.00e-18;127.00;21.000;NAN;NAN;NAN;0.04;NAN;4.242;4.242;-0.177;2.445;5.038;NAN;palfa;NAN;
2472;J1904+0207g;J1904+0207g;NAN;NAN;NAN;NAN;36.333;-1.990;286.18333333;2.11666667;0.005040;NAN;229.90;NAN;NAN;NAN;NAN;0.02;NAN;5.999;5.999;-0.208;3.552;3.670;NAN;fast_gpps;NAN;
2473;J1904+0358g;J1904+0358g;NAN;NAN;NAN;NAN;37.936;-1.061;286.09166667;3.96666667;0.751540;NAN;531.30;4.100;NAN;NAN;NAN;0.01;NAN;12.094;12.094;-0.224;7.434;-1.037;NAN;fast_gpps;NAN;
2474;J1904+0415g;J1904+0415g;NAN;NAN;NAN;NAN;38.157;-0.872;286.02500000;4.25000000;0.231450;NAN;522.60;26.900;NAN;NAN;NAN;0.05;NAN;9.639;9.639;-0.147;5.955;0.922;NAN;fast_gpps;NAN;
2475;J1904+0451;J1904+0451;NAN;NAN;NAN;56242.00;38.806;-0.787;286.24743667;4.86526472;0.006092;5.72e-21;182.71;NAN;NAN;NAN;NAN;0.09;NAN;4.401;4.401;-0.060;2.758;5.071;NAN;palfa;NAN;
2476;J1904+0519g;J1904+0519g;NAN;NAN;NAN;NAN;39.109;-0.390;286.03333333;5.31666667;1.680530;NAN;72.70;14.100;26.100;NAN;NAN;0.08;NAN;2.236;2.236;-0.015;1.410;6.765;NAN;fast_gpps;NAN;
2477;J1904+0535g;J1904+0535g;NAN;NAN;NAN;NAN;39.430;-0.430;286.21666667;5.58333333;0.603760;NAN;78.40;NAN;NAN;NAN;NAN;0.04;NAN;2.429;2.429;-0.018;1.543;6.624;NAN;fast_gpps;NAN;
2478;J1904+0553g;J1904+0553g;NAN;NAN;NAN;NAN;39.630;-0.164;286.07083333;5.88333333;0.004910;NAN;164.20;NAN;NAN;NAN;NAN;0.83;NAN;4.013;4.013;-0.011;2.560;5.409;NAN;fast_gpps;NAN;
2479;J1904+0603g;J1904+0603g;NAN;NAN;NAN;NAN;39.845;-0.216;286.21666667;6.05000000;1.974930;NAN;413.20;NAN;NAN;NAN;NAN;0.02;NAN;6.075;6.075;-0.023;3.892;3.836;NAN;fast_gpps;NAN;
